OBJECTID,pointid,percentage,Lon,Lat,RastX,RastY
19081,92806,3.196666718,-72.87155478,45.11904614,-344407.6744,135276.4301
19082,92807,19.14666557,-72.75413699,45.08880345,-335368.18,131357.361
19083,92808,23.68333435,-72.6368771,45.05841162,-326330.1655,127436.7317
19084,92809,20.17333221,-72.5197756,45.02787103,-317293.6327,123514.5464
19085,92810,23.56333351,-72.40283295,44.99718206,-308258.5839,119590.8093
19086,92811,28.78000069,-72.28604961,44.96634509,-299225.021,115665.5246
19087,92812,9.899998665,-72.16942606,44.9353605,-290192.946,111738.6965
19088,92813,5.639999866,-72.05296275,44.90422868,-281162.361,107810.3293
19089,92814,32.69666672,-71.93666011,44.87295,-272133.268,103880.427
19090,92815,25.44666672,-71.82051861,44.84152486,-263105.6688,99948.99399
19091,92816,8.106666565,-71.70453867,44.80995363,-254079.5656,96016.03443
19092,92817,3.49000001,-71.58872073,44.77823671,-245054.9601,92081.55253
19093,92818,26.62666702,-71.47306521,44.74637448,-236031.8543,88145.55251
19094,92819,29.58666611,-71.35757254,44.71436733,-227010.2501,84208.03858
19095,92820,12.80999947,-71.24224314,44.68221566,-217990.1494,80269.01497
19096,92821,3.736666679,-71.12707741,44.64991984,-208971.554,76328.48589
19097,92822,19.08666611,-92.01707583,47.69621777,-1728333.748,697598.5873
19098,92823,0.779999971,-91.88470884,47.69193048,-1719108.09,693960.2316
19099,92824,5,-91.75236885,47.68745732,-1709883.378,690319.7835
19100,92825,12.19333363,-91.62005699,47.68279836,-1700659.618,686677.2454
19101,92826,6.696666718,-91.48777441,47.67795366,-1691436.813,683032.6199
19102,92827,2.716666698,-91.35552223,47.67292332,-1682214.969,679385.9093
19103,92828,2.716666698,-91.22330159,47.66770739,-1672994.089,675737.1162
19104,92829,0.779999971,-91.09111362,47.66230596,-1663774.18,672086.2431
19105,92830,1.840000033,-90.95895945,47.65671911,-1654555.245,668433.2926
19106,92831,6.866666794,-90.82684021,47.65094692,-1645337.289,664778.2671
19107,92832,15.55333328,-90.69475701,47.64498949,-1636120.318,661121.1693
19108,92862,6.440000057,-84.54771239,47.15827053,-1204114.663,486951.7087
19109,92863,16.37333298,-84.41863484,47.14357706,-1194950.094,483198.5272
19110,92864,5.95666647,-84.28964519,47.12870589,-1185786.719,479443.4215
19111,92865,7.503333092,-84.16074442,47.11365724,-1176624.542,475686.395
19112,92866,10.56000042,-84.03193349,47.09843133,-1167463.565,471927.4513
