FID,ANNEE,SUPER_HA,Ia,NIVEAU,Longitude,Latitude,X,Y,RastX,RastY
29741,2012,131.5054376,1,Léger,-71.889267,49.07098396,1651285.507,311227.5428,-246324.0627,569104.7519
29742,2012,54.4757621,3,Grave,-71.90847439,49.07985126,1649623.843,311650.7227,-247672.2592,570151.2136
29743,2012,12.94194892,1,Léger,-66.47172827,49.08163961,2014241.489,468513.7666,147412.0487,566538.8034
29744,2012,4.913905166,2,Modéré,-71.71802341,49.08263357,1662508.225,316898.3846,-233829.1337,569818.0404
29745,2012,20.18767185,3,Grave,-72.61001644,49.08109023,1601581.24,293850.0595,-298589.7228,572965.8124
29746,2012,423.5408343,2,Modéré,-68.55267942,49.07061111,1876744.309,403745.2725,-3830.163822,563230.5163
29747,2012,7.373101617,1,Léger,-71.85185008,49.0826233,1653270.517,313409.0214,-243549.7849,570112.9761
29748,2012,0.348575001,3,Grave,-72.67057104,49.08418703,1597310.997,292650.5903,-302964.0488,573562.4425
29749,2012,96.08938614,1,Léger,-72.84444184,49.07410151,1585765.357,287246.5765,-315647.0693,573199.8582
29750,2012,167.4358866,1,Léger,-71.71777262,49.07559894,1662805.33,316174.6249,-233845.8654,569039.5239
29751,2012,0.159952848,1,Léger,-71.86262219,49.0846129,1652565.51,313335.7935,-244318.166,570519.9255
29752,2012,2.29713711,1,Léger,-71.8920282,49.0840981,1650578.841,312518.7547,-246455.8256,570563.8579
29753,2012,17.36364158,1,Léger,-72.85167604,49.08193868,1584971.318,287885.3011,-316119.3505,574097.4702
29754,2012,0.07129043,1,Léger,-71.86039935,49.08508737,1652698.439,313442.8449,-244154.3151,570564.7841
29755,2012,0.034217684,2,Modéré,-71.62293839,49.08519037,1668888.036,319653.789,-226912.1456,569794.5883
29756,2012,0.381756998,1,Léger,-66.60560646,49.08509706,2005261.101,464630.1856,137674.188,566654.5791
29757,2012,124.0049093,1,Léger,-71.76274796,49.07239955,1659551.399,314667.604,-237425.2807,568423.4757
29758,2012,83.19050961,1,Léger,-71.8095334,49.07636151,1656819.324,313859.5112,-240492.7101,569042.2369
29759,2012,0.017347285,2,Modéré,-68.45322952,49.08521499,1882729.588,408169.1919,3399.411608,564846.3228
29760,2012,6.525159078,1,Léger,-71.83589526,49.08345604,1654435.17,313910.3895,-242383.6462,570301.1569
29761,2012,164.2091527,3,Grave,-71.8784338,49.07518202,1651859.307,311945.0656,-245515.3236,569531.5096
29762,2012,41.89165547,1,Léger,-72.23204729,49.08381445,1627357.237,303727.8064,-271140.972,571762.2018
29763,2012,0.026276641,1,Léger,-68.6866765,49.08609366,1867094,401377.2646,-13567.91125,564960.1405
29764,2012,0.114112197,3,Grave,-71.67918532,49.08609289,1665018.397,318273.3546,-230991.936,570074.3207
29765,2012,0.356568564,3,Grave,-72.78992674,49.08596721,1589056.161,289846.9155,-311612.3944,574271.6176
29766,2012,1.229778736,1,Léger,-71.74771916,49.08460002,1660404.95,316326.8571,-235975.5504,570132.8989
29767,2012,197.5711951,1,Léger,-66.6043005,49.08000234,2005591.666,464160.473,137784.0149,566093.5364
29768,2012,0.025973627,1,Léger,-68.67356242,49.08687757,1867935.737,401842.097,-12614.55275,565044.486
29769,2012,0.91277486,1,Léger,-68.9486434,49.08648594,1849545.364,393763.5863,-32607.58644,565088.0685
29770,2012,9.785203303,1,Léger,-72.00227047,49.08345267,1643076.786,309597.3715,-254462.9342,570878.3624
29771,2012,10.64419316,2,Modéré,-72.59895777,49.08442163,1602211.562,294476.2216,-297766.0842,573287.7701
29772,2012,47.51394398,1,Léger,-72.16111813,49.08115788,1632311.33,305268.7061,-266007.3965,571202.41
29773,2012,62.51040449,2,Modéré,-71.71012011,49.0807255,1663123.096,316906.9166,-233264.7088,569581.3117
29774,2012,3.933581174,1,Léger,-71.83207853,49.0864161,1654578.375,314317.1737,-242091.2774,570615.4378
29775,2012,0.14839412,2,Modéré,-68.75736026,49.08714085,1862320.149,399411.6914,-18704.87092,565091.9569
29776,2012,0.106514077,3,Grave,-72.79109224,49.08744754,1588919.888,289972.4419,-311687.1356,574440.207
29777,2012,30.59227423,2,Modéré,-68.34752234,49.08510474,1889788.422,411292.7722,11082.53204,564844.8205
29778,2012,0.148280563,2,Modéré,-68.47191549,49.08731178,1881387.703,407829.4011,2041.170894,565077.637
29779,2012,33.91915565,1,Léger,-71.81143603,49.08345492,1656104.107,314546.7925,-240607.7356,570218.489
29780,2012,3.587133219,2,Modéré,-68.45446445,49.08469859,1882670.424,408080.1458,3309.688536,564789.1135
29781,2012,22.98869135,1,Léger,-71.42986149,49.0846261,1682060.522,324681.1848,-212893.8671,569138.8698
29782,2012,554.3556054,1,Léger,-68.93346608,49.0671329,1851419.476,392231.356,-31517.33311,562939.5134
29783,2012,0.019493997,1,Léger,-68.95568349,49.08888511,1848967.612,393803.5753,-33117.56565,565356.7802
29784,2012,0.016807772,1,Léger,-72.02444563,49.08894644,1641346.169,309596.1622,-256042.8796,571564.657
29785,2012,202.3527708,3,Grave,-68.48507736,49.08124871,1880781.875,406823.8208,1084.685251,564406.4233
29786,2012,0.013852442,2,Modéré,-68.74174134,49.08891213,1863285.875,400049.5023,-17569.03431,565284.0021
29787,2012,0.315082096,1,Léger,-68.94634823,49.08890518,1849591.984,394077.0347,-32439.10481,565354.725
29788,2012,41.40573109,3,Grave,-72.0446576,49.08234249,1640224.751,308387.8789,-257546.2489,570907.2835
29789,2012,2.894233735,1,Léger,-72.64042546,49.08869902,1599205.201,293879.0557,-300747.7534,573933.7251
29790,2012,0.298775517,2,Modéré,-71.51874081,49.08927841,1675822.475,322817.3883,-219326.6598,569921.6613
29791,2012,0.05576822,3,Grave,-72.7923985,49.08947022,1588753.335,290151.1129,-311768.4858,574669.3183
29792,2012,18.01002891,2,Modéré,-72.59968512,49.08617382,1602094.506,294640.7402,-297807.7694,573484.3713
29793,2012,28.92725231,1,Léger,-68.7791261,49.08623103,1860904.609,398681.9901,-20287.18155,564997.2111
29794,2012,401.7687363,3,Grave,-72.02880381,49.07946154,1641421.079,308497.1845,-256410.994,570531.9234
29795,2012,0.389046945,3,Grave,-71.7112653,49.08972216,1662686.906,317810.8836,-233303.2173,570579.595
29796,2012,377.6116331,3,Grave,-68.4109443,49.06789819,1886333.202,407661.7691,6474.814245,562932.7228
29797,2012,5.827134278,1,Léger,-71.86609691,49.08644048,1652256.1,313435.4051,-244560.9306,570733.7992
